,0
0,-8.797079e-06
1,-8.783651e-06
2,-0.00050141796
3,-0.0004599065
4,3.2857308e-05
5,8.829376e-05
6,-3.1029613e-05
7,-4.179269e-06
8,-1.0679319e-05
9,-7.95801e-06
10,-8.891009e-06
11,-8.668926e-06
12,-9.242621e-06
13,-8.72965e-06
14,-8.592286e-06
15,-8.601422e-06
16,-8.794762e-06
17,-8.811563e-06
18,-8.683e-06
19,-8.623636e-06
20,-8.608953e-06
21,-8.720218e-06
22,-8.773568e-06
23,-8.787359e-06
24,-8.772385e-06
25,-8.772323e-06
26,-0.002897568
27,-0.0018045717
28,0.0003932322
29,-0.0021826166
30,-0.0018118714
31,-0.0010806049
32,-0.0007105911
33,-0.0006334689
34,-0.0005731187
35,-0.0005479542
36,-0.0005371427
37,-0.00053641736
38,-0.0005513465
39,-0.00067859323
40,-0.0008362749
41,-0.0010563303
42,-0.0017473928
43,-0.003250005
44,-0.0059515224
45,-0.010000255
46,-0.01577501
47,-0.025627075
48,-0.042755604
49,-0.06665024
50,-0.10160103
51,-0.1299119
52,-0.15154067
53,-0.17070468
54,-0.17893553
55,-0.18214853
56,-0.18314749
57,-0.18185511
58,-0.1769529
59,-0.16780843
60,-0.15866764
61,-0.15761319
62,-0.16409405
63,-0.16886811
64,-0.17004044
65,-0.16341758
66,-0.15602748
67,-0.14713508
68,-0.1345413
69,-0.1313732
70,-0.13959931
71,-0.1917488
72,-0.3085797
73,-0.49868146
74,-0.77121085
75,-1.2085054
76,-1.8355457
77,-2.5604794
78,-3.5467122
79,-4.6517076
80,-6.372649
81,-9.703702
82,-11.335283
83,-12.158163
84,-12.368586
85,-12.081659
86,-11.547669
87,-10.86014
88,-9.983448
89,-8.7929535
90,-7.250257
91,-5.65435
92,-4.0005307
93,-3.0127683
94,-2.5855513
95,-2.2890248
96,-2.0393116
97,-1.870864
98,-1.7445562
99,-1.6468022
100,-1.5730572
101,-1.4590482
102,-1.336275
103,-1.2244668
104,-1.095061
105,-0.98943174
106,-0.89976346
107,-0.817614
108,-0.7661548
109,-0.72241545
110,-0.6821212
111,-0.6439733
112,-0.6127487
113,-0.58483434
114,-0.5627354
115,-0.54411197
116,-0.528322
117,-0.510659
118,-0.49939156
119,-0.49336568
120,-0.49262208
121,-0.49487677
122,-0.9898269
123,-1.4833382
124,-1.4833394
125,-1.4875076
126,-1.4818906
127,-1.4728347
128,-1.4391785
129,-1.4188209
130,-1.391129
131,-1.3531022
132,-1.2949462
133,-1.2097139
134,-1.0953213
135,-0.9814367
136,-0.8934351
137,-0.83003783
138,-0.79161817
139,-0.7646222
140,-0.7519439
141,-0.8640531
142,-0.97589254
143,-1.0451729
144,-0.98426527
145,-0.9548558
146,-0.9669723
147,-1.0294464
148,-1.1876727
149,-1.4388005
150,-1.6928746
151,-2.032474
152,-2.5397744
153,-3.298942
154,-4.235872
155,-5.5325236
156,-8.980149
157,-10.784233
158,-11.421353
159,-11.913036
160,-12.2014
161,-12.143218
162,-11.625606
163,-10.840212
164,-9.853869
165,-8.551137
166,-6.784778
167,-4.320466
168,-2.1435354
169,-1.3428854
170,-1.0045831
171,-0.7205627
172,-0.50328475
173,-0.35692078
174,-0.26096222
175,-0.19644707
176,-0.15567248
177,-0.12358908
178,-0.09891376
179,-0.077212185
180,-0.057199553
181,-0.0413992
182,-0.029815553
183,-0.02216502
184,-0.017480727
185,-0.01518881
186,-0.013899721
187,-0.012972757
188,-0.01231134
189,-0.0112390425
190,-0.010324673
191,-0.009325292
192,-0.008483028
193,-0.007832416
194,-0.007178404
195,-0.0066077653
196,-0.0061410703
197,-0.0057032094
198,-0.005271102
199,-0.0047584428
200,-0.0044279834
201,-0.0041560004
202,-0.0039006935
203,-0.0035783448
204,-0.0033097996
205,-0.0030977563
206,-0.0029151908
207,-0.0027510193
208,-0.0026175953
209,-0.002506561
210,-0.002396452
211,-0.0022251266
212,-0.0021051634
213,-0.001298044
214,-0.0007708066
215,-0.0006774071
216,-0.0005978876
217,-0.00052303815
218,-0.0004631448
219,-0.00041350324
220,-0.00037671282
221,-0.000326384
222,-0.00029028108
223,-0.00026091372
224,-0.00023810175
225,-0.00020772667
226,-0.00018681074
227,-0.00016734842
228,-0.00014945296
229,-0.00013595105
230,-0.000119685
231,-0.00010701565
232,-9.570645e-05
233,-8.41573e-05
234,-7.574641e-05
235,-6.673645e-05
236,-5.9104605e-05
237,-4.383766e-05
238,-3.3225017e-05
239,-2.9350043e-05
240,-2.699401e-05
241,-2.4468824e-05
242,-2.1654927e-05
243,-1.7481292e-05
244,-1.4672173e-05
245,-1.2404875e-05
246,-1.1018456e-05
247,-9.9203535e-06
248,-9.372515e-06
249,-8.97321e-06
250,-8.869847e-06
251,-8.815006e-06
252,-8.814867e-06
253,-8.780863e-06
254,-8.783665e-06
255,-0.00050145685
256,-0.00045994215
257,3.2869633e-05
258,8.8307366e-05
259,-3.1030337e-05
260,-4.1794347e-06
261,-1.0678869e-05
262,-7.958054e-06
263,-8.891418e-06
264,-8.669188e-06
265,-9.238354e-06
266,-8.7204335e-06
267,-8.591748e-06
268,-8.524082e-06
269,-8.671236e-06
270,-8.695299e-06
271,-8.738652e-06
272,-8.789152e-06
273,-8.785006e-06
274,-8.791355e-06
275,-8.752592e-06
276,-8.772336e-06
277,-8.772357e-06
278,-0.00242293
279,-0.0017200348
280,0.000347704
281,-0.002008861
282,-0.0017500964
283,-0.0010781277
284,-0.000709339
285,-0.00062486925
286,-0.00056276785
287,-0.0005364437
