time	I(Vs)
0.000000000000000e+00	-1.303676e-05
2.199999999340750e-11	-3.327373e-05
6.599999998022250e-11	-3.832218e-05
1.539999999809576e-10	-2.052930e-05
3.299999999824277e-10	-1.729851e-05
3.772808034952294e-10	-2.307239e-05
4.718424105208327e-10	-2.307013e-05
6.609656245449343e-10	-3.223956e-04
7.047032001179527e-10	-3.081405e-04
7.474800136763205e-10	-3.392910e-05
7.742610021275066e-10	-2.421751e-05
8.031696505518115e-10	-1.221795e-04
8.436314764175348e-10	-7.219923e-05
8.890047555802725e-10	-4.453750e-05
9.363832319936576e-10	7.302395e-06
9.438178650623442e-10	-4.874552e-06
9.586871311997175e-10	-1.093716e-04
9.715001533002875e-10	-2.515345e-04
9.768585422986406e-10	-2.875739e-04
9.875753202953468e-10	-2.310064e-04
9.999999999886402e-10	-1.655255e-04
1.000027334297502e-09	1.464567e-02
1.000082002888120e-09	1.684294e-02
1.000191340069356e-09	1.217945e-03
1.000410014431827e-09	-7.896630e-03
1.000847363183876e-09	-3.339325e-03
1.001722060687974e-09	8.924595e-04
1.003471455696169e-09	1.217990e-03
1.006970245712559e-09	4.855704e-04
1.013967825718234e-09	2.007374e-04
1.027962985729585e-09	-6.375180e-05
1.055953305779391e-09	-8.410213e-05
1.111933945879004e-09	-3.833244e-05
1.223895226078230e-09	-2.053617e-05
1.447817786476681e-09	-5.279042e-06
1.895662907273584e-09	-7.183832e-06
2.791353148840284e-09	-1.067667e-05
4.582733631973684e-09	-1.003744e-05
5.235291321607164e-09	-1.061740e-05
5.654989015848721e-09	-7.652440e-07
5.783296708905148e-09	-8.270097e-06
5.839151843956784e-09	-2.887400e-05
5.889991723924360e-09	-9.459205e-05
5.899785492151323e-09	1.676011e-04
5.900977939848982e-09	-1.394475e-04
5.901925030751863e-09	-4.096265e-04
5.903346336858526e-09	-8.410568e-05
5.906188949098955e-09	4.855558e-04
5.911874173552710e-09	2.205969e-04
5.919770300799772e-09	7.865478e-05
5.929887956807479e-09	7.865478e-05
5.944733240257271e-09	3.722410e-05
5.973627731250923e-09	-6.376059e-05
6.031416713265332e-09	-7.901938e-05
6.146994677294149e-09	-2.307048e-05
6.378150605351783e-09	-1.416952e-05
6.840462461439947e-09	-1.671264e-05
7.075376287787004e-09	-1.544108e-05
7.545203940481117e-09	-1.483631e-05
7.999999999990437e-09	-2.052735e-05
8.001000551384561e-09	3.711149e-04
8.003001654145704e-09	4.041756e-04
8.007003859667990e-09	-2.725427e-06
8.015008270712562e-09	-1.247957e-04
8.031017092828812e-09	-6.376058e-05
8.063034737034206e-09	-7.393311e-05
8.127070025444995e-09	-7.811691e-06
8.255140602266573e-09	-2.725431e-06
