PartNumber,Inductance_uH,DCR_mOhm,Isat_A,Irms_A,MaxTemp_C,VoltageRating_V,Length_mm,Width_mm,Height_mm,Mounting,AECGrade,Price
XGL1010-563,56,55.9,7.6,6.3,165,60,11.8,10.5,10,SM,1,$2.14
XFL6060-473,47,75.3,1.8,3.7,165,20,6.76,6.56,6.1,SM,1,$0.97
XGL6060-473,47,107,3.2,3.7,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7050-473,47,120,3.5,3.5,165,60,8,7.7,5,SM,1,$0.96
XAL7070-473,47,97.07,4.2,4.1,165,60,8,7.7,7,SM,1,$1.28
XAL8080-473,47,71.8,4.4,4.8,165,60,8.8,8.3,8,SM,1,$3.29
XGL1010-473,47,46.9,8.4,7,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-473,47,30,9.7,9.1,165,60,15.2,13.6,13,SM,1,$2.57
XGL5050-333,33,118,2.5,3.2,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-333,33,105,3.7,3.6,165,60,6.76,6.56,6.1,SM,1,$1.02
XGL6060-333,33,69.5,4,4.9,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7050-333,33,85,4.1,4.6,165,60,8,7.7,5,SM,1,$0.96
XAL7070-333,33,62.08,4.4,4.9,165,-,8,7.7,7,SM,1,$1.28
XAL8080-333,33,48.5,5,6,165,-,8.8,8.3,8,SM,1,$3.29
XGL1010-333,33,33.5,10,8.5,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-333,33,20.7,11.6,11.2,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-333,33,20,16.7,12,165,60,16.4,15.4,11,SM,1,$3.14
XGL4040-223,22,114.7,1.9,3.3,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5030-223,22,118.8,3,3.6,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5050-223,22,99.65,3.6,3.4,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-223,22,79.5,3.3,4,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL5050-223,22,99.65,3.6,3.4,165,60,5.68,5.48,5.1,SM,1,$0.85
XAL6060-223,22,60.63,5.6,5,165,60,6.76,6.56,6.1,SM,1,$0.88
XGL6060-223,22,46.9,5.1,5.8,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7050-223,22,70,5.5,5,165,60,8,7.7,5,SM,1,$0.96
XAL7070-223,22,39.69,5.6,6.5,165,60,8,7.7,7,SM,1,$1.28
XAL8050-223,22,71,6.2,5.2,165,60,8.8,8.3,5,SM,1,Quote
XAL8080-223,22,32.9,6.4,7.6,165,60,8.8,8.3,8,SM,1,$3.29
XGL1010-223,22,22,13,13.2,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-223,22,13.3,15.4,14.3,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-223,22,16,18.7,14,165,60,16.4,15.4,10,SM,1,$3.14
XGL5030-183,18,97.7,3.3,4,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-183,18,62.5,3.7,4.5,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL6030-183,18,80,4.4,4.7,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-183,18,37.3,5.5,6.4,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7050-183,18,50,6.2,6.2,165,60,8,7.7,5,SM,1,$0.96
XAL7070-183,18,32.82,6.3,6.8,165,-,8,7.7,7,SM,1,$1.28
XAL8080-183,18,28,6.6,8.3,165,-,8.8,8.3,8,SM,1,$3.29
XGL4040-153,15,82.2,2.5,3.6,165,80,4.3,4.3,4.1,SM,1,$0.67
XAL4040-153,15,120,2.9,2.8,165,60,4.3,4.3,4.1,SM,1,$0.67
XGL5030-153,15,77.1,3.6,4.5,165,80,5.68,5.48,3.1,SM,1,$0.99
XAL5050-153,15,76.7,3.7,3.9,165,60,5.68,5.48,5.1,SM,1,$0.85
XEL5050-153,15,76.7,3.7,3.9,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-153,15,54.9,3.9,4.6,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-153,15,43.75,5.8,6,165,60,6.76,6.56,6.1,SM,1,$0.88
XGL6030-153,15,72,4.6,5.2,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-153,15,31.1,5.8,7.4,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7050-153,15,41,6.4,7,165,60,8,7.7,5,SM,1,$0.96
XAL7070-153,15,29.52,7,7.4,165,-,8,7.7,7,SM,1,$1.28
XAL8080-153,15,22.5,7.7,9.4,165,-,8.8,8.3,8,SM,1,$3.29
XAL1010-153,15,18.6,15.5,13.8,165,60,11.8,10.5,10,SM,1,$2.14
XGL1010-153,15,15.2,16,15.4,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-153,15,9.2,17.5,16.8,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-153,15,12.4,23,18,165,60,16.4,15.4,10,SM,1,$3.14
XAL1513-153,15,7.5,25.5,22,165,60,16.4,15.4,13,SM,1,$2.89
XGL4025-123,12,105.3,2.6,3.3,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-123,12,86.5,2.7,3.4,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL5030-123,12,56.5,4,5.4,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-123,12,43,4.3,5.1,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL6060-123,12,40.33,5.8,7.4,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6030-123,12,53,5.5,6,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-123,12,24.2,6.7,8.3,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7070-123,12,22.23,7.4,8.2,165,-,8,7.7,7,SM,1,$1.28
XAL8080-123,12,18.2,8.6,10.5,165,-,8.8,8.3,8,SM,1,$3.29
XGL4025-103,10,89.2,2.9,3.6,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-103,10,69.5,3.1,3.9,165,80,4.3,4.3,3.1,SM,1,$0.65
XAL4040-103,10,92.4,3,3.1,165,60,4.3,4.3,4.1,SM,1,$0.67
XGL4040-103,10,50.5,2.8,5,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5030-103,10,48.4,4.5,5.7,165,80,5.68,5.48,3.1,SM,1,$0.99
XAL5050-103,10,45,4.9,4.9,165,60,5.68,5.48,5.1,SM,1,$0.85
XGL5050-103,10,33.6,4.9,6.2,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL5050-103,10,45,4.9,4.9,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-103,10,29.82,7.6,7,165,60,6.76,6.56,6.1,SM,1,$0.88
XGL6020-103,10,77.5,4.4,4.7,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-103,10,44,6.2,7,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-103,10,20.4,7.3,9.1,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-103,10,69.46,7.7,5.3,165,60,8,8,3.1,SM,1,$1.06
XAL7050-103,10,29,7.1,8.5,165,60,8,7.7,5,SM,1,$0.96
XAL7070-103,10,20.17,7.5,9.3,165,-,8,7.7,7,SM,1,$1.28
XAL8080-103,10,23.1,10.9,8.7,165,60,8.8,8.3,8,SM,1,$3.29
XGL1060-103,10,18,15.5,12.1,165,60,11.8,10.5,6,SM,1,$2.06
XAL1010-103,10,14.75,17.5,15.5,165,60,11.8,10.5,10,SM,1,$2.14
XGL1010-103,10,9.7,18,18.2,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-103,10,6.3,23,18.5,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-103,10,9,26.3,22,165,60,16.4,15.4,10,SM,1,$3.14
XGL4020-822,8.2,78.1,3.2,4.1,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-822,8.2,76,3.3,4,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-822,8.2,55.7,3.45,4.2,165,80,4.3,4.3,3.1,SM,1,$0.65
XAL4040-822,8.2,66.9,4,3.4,165,60,4.3,4.3,4.1,SM,1,$0.67
XGL4040-822,8.2,41.2,3.3,5.4,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5020-822,8.2,73.6,4.1,4.5,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-822,8.2,41,5,6.4,165,80,5.68,5.48,3.1,SM,1,$0.99
XAL5050-822,8.2,34.95,5.6,6.1,165,60,5.68,5.48,5.1,SM,1,$0.85
XEL5050-822,8.2,34.95,5.6,6.1,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-822,8.2,27.5,5.5,7,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-822,8.2,26.4,8.4,8,165,60,6.76,6.56,6.1,SM,1,$0.88
XEL6060-822,8.2,24.98,7.6,9.4,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-822,8.2,56.4,4.8,5.6,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-822,8.2,40,6.5,7.1,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-822,8.2,16.8,8.1,10.1,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-822,8.2,60.94,8.4,5.9,165,60,8,8,3.1,SM,1,$1.06
XGL1060-822,8.2,15,16.9,13.3,165,60,11.8,10.5,6,SM,1,$2.06
XAL1010-822,8.2,12.9,18.3,17.1,165,60,11.8,10.5,10,SM,1,$2.14
XGL1010-822,8.2,9,20,18.7,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-822,8.2,5.2,25,20.5,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-822,8.2,7.5,30,24,165,60,16.4,15.4,10,SM,1,$3.14
XGL3530-682,6.8,78.2,2.1,3.65,165,80,3.65,3.35,3,SM,1,$0.67
XGL4020-682,6.8,70,3.4,4.2,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-682,6.8,58.7,3.5,4.5,165,80,4.3,4.3,2.5,SM,1,$0.63
XAL4030-682,6.8,74.1,3.6,3.9,165,60,4.3,4.3,3.1,SM,1,$0.65
XGL4030-682,6.8,47.9,3.65,4.7,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-682,6.8,74.1,3.6,3.9,165,120,4.3,4.3,3.1,SM,1,$0.73
XEL4030-682,6.8,74.1,3.6,3.9,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL4040-682,6.8,34.7,4,5.6,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5020-682,6.8,63.5,4.5,4.9,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-682,6.8,32.1,5.5,7.3,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5050-682,6.8,29.45,6,6.4,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-682,6.8,23.1,6.2,7.5,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL5050-682,6.8,29.45,6,6.4,165,60,5.68,5.48,5.1,SM,1,$0.85
XAL6060-682,6.8,20.8,9.2,9,165,60,6.76,6.56,6.1,SM,1,$0.88
XEL6060-682,6.8,22.9,7.9,9.8,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-682,6.8,49.8,5.1,6.2,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-682,6.8,29.5,7.3,8.2,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-682,6.8,14,8.9,11.5,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-682,6.8,51.75,8.7,6.8,165,60,8,8,3.1,SM,1,$1.06
XAL7070-682,6.8,19.62,12.8,9.2,165,60,8,7.7,7,SM,1,$1.28
XAL8080-682,6.8,14.5,14,11.3,165,60,8.8,8.3,8,SM,1,$3.29
XGL1060-682,6.8,12.5,18.4,14.8,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-682,6.8,7,22,21.2,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-682,6.8,8.9,21.8,18.5,165,60,11.8,10.5,10,SM,1,$2.14
XGL1313-682,6.8,4.3,26.5,22,165,60,15.2,13.6,13,SM,1,$2.57
XAL1510-682,6.8,4.6,36,26,165,60,16.4,15.4,10,SM,1,$3.14
XAL1580-612,6.1,6.79,31,22.6,165,60,16.4,15.4,8,SM,1,$2.77
XGL3530-562,5.6,62.1,2.4,4.05,165,80,3.65,3.35,3,SM,1,$0.67
XGL4020-562,5.6,53.6,3.7,5.3,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-562,5.6,47.9,3.8,5.1,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-562,5.6,34.7,4.2,5.5,165,80,4.3,4.3,3.1,SM,1,$0.65
XGL5020-562,5.6,52,4.9,5.9,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-562,5.6,27,6,7.9,165,80,5.68,5.48,3.1,SM,1,$0.99
XGL5050-562,5.6,19.7,6.4,8,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL5050-562,5.6,25.8,6.3,7.2,165,60,5.68,5.48,5.1,SM,1,$0.85
XEL5050-562,5.6,24.8,6.6,7.6,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-562,5.6,15.9,9.9,10,165,60,6.76,6.56,6.1,SM,1,$0.88
XGL6020-562,5.6,40.4,5.7,6.3,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-562,5.6,24.1,8.2,8.8,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-562,5.6,11.7,9.6,12.6,165,80,6.91,6.71,6.1,SM,1,$0.88
XAL7030-562,5.6,32.32,9.8,7.3,165,60,8,8,3.1,SM,1,$1.06
XAL7070-562,5.6,15.03,13,11.4,165,60,8,7.7,7,SM,1,$1.28
XGL1060-562,5.6,10.1,19.7,16.4,165,60,11.8,10.5,6,SM,1,$2.06
XGL1010-562,5.6,5.9,24,24,165,60,11.8,10.5,10,SM,1,$2.14
XAL1010-562,5.6,6.93,23.6,21.2,165,60,11.8,10.5,10,SM,1,$2.14
XAL1580-532,5.3,5.22,33,26.5,165,60,16.4,15.4,8,SM,1,$2.77
XFL3010-472,4.7,230,1.1,1.1,165,40,3.2,3.2,1.1,SM,1,$0.53
XFL3012-472,4.7,171,1.2,1.4,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3520-472,4.7,72.6,2.3,4.3,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-472,4.7,51.2,2.7,4.5,165,80,3.65,3.35,3,SM,1,$0.67
XGL4018-472,4.7,69.4,3.4,4.5,165,80,4.3,4.3,1.8,SM,1,$0.61
XFL4020-472,4.7,57.4,2.7,5,165,20,4.3,4.3,2.1,SM,1,$0.69
XGL4020-472,4.7,47.3,4.1,5.6,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL4025-472,4.7,39.5,4.3,5.4,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-472,4.7,31.5,4.4,6.6,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-472,4.7,44.1,4.6,5.1,165,120,4.3,4.3,3.1,SM,1,$0.73
XFL4030-472,4.7,30,2.1,7.5,165,20,4.3,4.3,3.1,SM,1,$0.72
XEL4030-472,4.7,44.1,4.6,5.1,165,80,4.3,4.3,3.1,SM,1,$0.65
XAL4030-472,4.7,44.1,4.6,5.1,165,60,4.3,4.3,3.1,SM,1,$0.65
XGL4040-472,4.7,24.5,4.4,7.1,165,80,4.3,4.3,4.1,SM,1,$0.67
XGL5020-472,4.7,41.5,5.3,7.9,165,80,5.68,5.48,2.1,SM,1,$0.75
XAL5030-472,4.7,40,6.7,5.9,165,60,5.68,5.48,3.1,SM,1,$0.99
XFL5030-472,4.7,22,3.3,8.7,165,20,5.68,5.48,3.1,SM,1,$1.09
XGL5030-472,4.7,24.5,6.7,8.5,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5030-472,4.7,40,6.7,5.9,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5050-472,4.7,21.5,7.4,8.1,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL5050-472,4.7,16,7,9.7,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6060-472,4.7,14.4,10.5,11,165,60,6.76,6.56,6.1,SM,1,$0.88
XEL6060-472,4.7,15.02,11.4,12.1,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-472,4.7,33.8,6,7.7,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-472,4.7,21,8.6,10,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-472,4.7,10.1,10.2,13.5,165,80,6.91,6.71,6.1,SM,1,$0.88
