,PartNumber,Inductance,SubCkt
0,016008C-N45,0.45nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-N45;* Inductance = 0.45nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-26.5GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-N45_imp port1 port2 PARAMS: Cpar=0.056pF Ind=0.45nH;X1 port1 port2 Model1D PARAMS:;+ R1=126.1;+ R2=0.04;+ C= {Cpar};+ K1=0.00000122;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=109.818901;.ends 016008C-N45_imp
1,016008C-N50,0.5nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-N50;* Inductance = 0.5nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-26.5GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-N50_imp port1 port2 PARAMS: Cpar=0.035pF Ind=0.5nH;X1 port1 port2 Model1D PARAMS:;+ R1=63.1;+ R2=0.05;+ C= {Cpar};+ K1=0.0000017;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=254.718237;.ends 016008C-N50_imp
2,016008C-1N1,1.1nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-1N1;* Inductance = 1.1nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-24GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-1N1_imp port1 port2 PARAMS: Cpar=0.043pF Ind=1.1nH;X1 port1 port2 Model1D PARAMS:;+ R1=19.4;+ R2=0.08;+ C= {Cpar};+ K1=0.00000278;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1300.03938;.ends 016008C-1N1_imp
3,016008C-1N2,1.2nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-1N2;* Inductance = 1.2nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-23GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-1N2_imp port1 port2 PARAMS: Cpar=0.045pF Ind=1.2nH;X1 port1 port2 Model1D PARAMS:;+ R1=14;+ R2=0.1;+ C= {Cpar};+ K1=0.00000358;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1842.52313;.ends 016008C-1N2_imp
4,016008C-1N3,1.3nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-1N3;* Inductance = 1.3nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-23GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-1N3_imp port1 port2 PARAMS: Cpar=0.039pF Ind=1.3nH;X1 port1 port2 Model1D PARAMS:;+ R1=15;+ R2=0.15;+ C= {Cpar};+ K1=0.0000043;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2138.23806;.ends 016008C-1N3_imp
5,016008C-2N0,2nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-2N0;* Inductance = 2nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-18GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-2N0_imp port1 port2 PARAMS: Cpar=0.052pF Ind=2nH;X1 port1 port2 Model1D PARAMS:;+ R1=5;+ R2=0.1;+ C= {Cpar};+ K1=0.0000082;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=6386.5652;.ends 016008C-2N0_imp
6,016008C-2N2,2.2nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-2N2;* Inductance = 2.2nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-18GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-2N2_imp port1 port2 PARAMS: Cpar=0.035pF Ind=2.2nH;X1 port1 port2 Model1D PARAMS:;+ R1=14.8;+ R2=0.13;+ C= {Cpar};+ K1=0.0000084;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3952.55822;.ends 016008C-2N2_imp
7,016008C-2N4,2.4nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-2N4;* Inductance = 2.4nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-16GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-2N4_imp port1 port2 PARAMS: Cpar=0.042pF Ind=2.4nH;X1 port1 port2 Model1D PARAMS:;+ R1=18.6;+ R2=0.21;+ C= {Cpar};+ K1=0.000011;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=2868.1929;.ends 016008C-2N4_imp
8,016008C-3N3,3.3nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-3N3;* Inductance = 3.3nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-14GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-3N3_imp port1 port2 PARAMS: Cpar=0.046pF Ind=3.3nH;X1 port1 port2 Model1D PARAMS:;+ R1=11.1;+ R2=0.13;+ C= {Cpar};+ K1=0.0000138;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=5667.90528;.ends 016008C-3N3_imp
9,016008C-3N6,3.6nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-3N6;* Inductance = 3.6nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-14GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-3N6_imp port1 port2 PARAMS: Cpar=0.039pF Ind=3.6nH;X1 port1 port2 Model1D PARAMS:;+ R1=20.4;+ R2=0.19;+ C= {Cpar};+ K1=0.0000172;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=4131.65187;.ends 016008C-3N6_imp
10,016008C-3N8,3.8nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-3N8;* Inductance = 3.8nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-14GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-3N8_imp port1 port2 PARAMS: Cpar=0.038pF Ind=3.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=15;+ R2=0.26;+ C= {Cpar};+ K1=0.0000168;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=5912.48968;.ends 016008C-3N8_imp
11,016008C-3N9,3.9nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 016008C-3N9;* Inductance = 3.9nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-14GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 016008C-3N9_imp port1 port2 PARAMS: Cpar=0.034pF Ind=3.9nH;X1 port1 port2 Model1D PARAMS:;+ R1=7.5;+ R2=0.38;+ C= {Cpar};+ K1=0.0000182;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11902.8998;.ends 016008C-3N9_imp
