time	I(Vs)
0.000000000000000e+00	-8.797079e-06
4.245911186962631e-08	-8.783651e-06
4.264823508367752e-08	-5.014180e-04
4.269197265930474e-08	-4.599065e-04
4.273474947264627e-08	3.285731e-05
4.275847049432097e-08	8.829376e-05
4.278536716150610e-08	-3.102961e-05
4.281702079261124e-08	-4.179269e-06
4.284655060089737e-08	-1.067932e-05
4.287719737421092e-08	-7.958010e-06
4.290891526988194e-08	-8.891009e-06
4.294291881768927e-08	-8.668926e-06
4.298162541594569e-08	-9.242621e-06
4.298726945933806e-08	-8.729650e-06
4.298728972220930e-08	-8.592286e-06
4.298733024751811e-08	-8.601422e-06
4.298741129856939e-08	-8.794762e-06
4.298757340023829e-08	-8.811563e-06
4.298789760357608e-08	-8.683000e-06
4.298854601025165e-08	-8.623636e-06
4.298984282403648e-08	-8.608953e-06
4.299762370631177e-08	-8.720218e-06
4.307024527392539e-08	-8.773568e-06
4.383229584606203e-08	-8.780443e-06
4.459434641819867e-08	-8.784971e-06
4.535639699033532e-08	-8.787150e-06
4.611844756247196e-08	-8.786981e-06
4.688049813460860e-08	-8.784463e-06
4.764254870674524e-08	-8.779598e-06
4.840459927888188e-08	-8.772385e-06
5.346649319983021e-08	-8.772323e-06
5.540683230146129e-08	-2.897568e-03
5.585706610048910e-08	-1.804572e-03
5.605635980355725e-08	3.932322e-04
5.612319340427691e-08	-2.182617e-03
5.613532939527377e-08	-1.811871e-03
5.614015199635961e-08	-1.080605e-03
5.614460690936060e-08	-7.105911e-04
5.614977750595038e-08	-6.334689e-04
5.615580485601041e-08	-5.731187e-04
5.616234399069553e-08	-5.479542e-04
5.617050576273500e-08	-5.371427e-04
5.617930869420903e-08	-5.364174e-04
5.620930292916937e-08	-5.513465e-04
5.626433041372249e-08	-5.845971e-04
5.631935789827561e-08	-6.203322e-04
5.637438538282873e-08	-6.585518e-04
5.642941286738186e-08	-6.992558e-04
5.648444035193498e-08	-7.424444e-04
5.653946783648810e-08	-7.881174e-04
5.659449532104122e-08	-8.362749e-04
5.679826373160626e-08	-1.056330e-03
5.720580055230268e-08	-1.747393e-03
5.766122991579525e-08	-3.250005e-03
5.803728152014784e-08	-5.951522e-03
5.830099794905050e-08	-1.000025e-02
5.849019030354161e-08	-1.577501e-02
5.866485058370410e-08	-2.562707e-02
5.884530903136828e-08	-4.275560e-02
5.901770517343502e-08	-6.665024e-02
5.923302597975882e-08	-1.016010e-01
5.942323601107816e-08	-1.299119e-01
5.962263581243618e-08	-1.515407e-01
5.991004224442306e-08	-1.707047e-01
6.014015357762303e-08	-1.789355e-01
6.034915013509654e-08	-1.821485e-01
6.055851791645500e-08	-1.831475e-01
6.099205057674695e-08	-1.818551e-01
6.163154853871047e-08	-1.769529e-01
6.165274192820175e-08	-1.678084e-01
6.165766000369721e-08	-1.586676e-01
6.166071932732498e-08	-1.576132e-01
6.166317568058813e-08	-1.640940e-01
6.166572145104021e-08	-1.688681e-01
6.166882965136927e-08	-1.700404e-01
6.189182006272351e-08	-1.682265e-01
6.211481047407775e-08	-1.663499e-01
6.233780088543198e-08	-1.644107e-01
6.256079129678623e-08	-1.624088e-01
6.278378170814047e-08	-1.603443e-01
6.300677211949471e-08	-1.582172e-01
6.322976253084894e-08	-1.560275e-01
6.406716755594580e-08	-1.471351e-01
6.499902764200288e-08	-1.345413e-01
6.534254449368573e-08	-1.313732e-01
6.571407238937371e-08	-1.395993e-01
6.613149266653656e-08	-1.917488e-01
6.644080758917009e-08	-3.085797e-01
6.666852849163477e-08	-4.986815e-01
6.684894432104627e-08	-7.712108e-01
6.703146775751539e-08	-1.208505e+00
6.721378715407456e-08	-1.835546e+00
6.737091154873295e-08	-2.560479e+00
6.754353750826683e-08	-3.546712e+00
6.771175273733929e-08	-4.651708e+00
6.795484789939507e-08	-6.372649e+00
6.840560878677848e-08	-9.703702e+00
6.864088391558484e-08	-1.133528e+01
6.879982738985241e-08	-1.215816e+01
6.892408734807814e-08	-1.236859e+01
6.899931862024491e-08	-1.208166e+01
6.904602433072463e-08	-1.154767e+01
6.907905478409707e-08	-1.086014e+01
6.910733593018525e-08	-9.983448e+00
6.913731430890566e-08	-8.792953e+00
6.917110663287943e-08	-7.250257e+00
6.920423273630225e-08	-5.654350e+00
6.924105374781983e-08	-4.000531e+00
6.926865765265883e-08	-3.012768e+00
6.928559342055107e-08	-2.585551e+00
6.930279484876692e-08	-2.289025e+00
6.932363049751145e-08	-2.039312e+00
6.934423383772592e-08	-1.870864e+00
6.936699191439910e-08	-1.744556e+00
6.939146035079072e-08	-1.646802e+00
6.941534654416118e-08	-1.573057e+00
6.946247945241457e-08	-1.459048e+00
6.952391692037485e-08	-1.336275e+00
6.958881263070815e-08	-1.224467e+00
6.967604207399475e-08	-1.095061e+00
6.976110632347585e-08	-9.894317e-01
6.984778467200234e-08	-8.997635e-01
6.994458536836723e-08	-8.176140e-01
7.001781959824552e-08	-7.661548e-01
7.009144092949907e-08	-7.224154e-01
7.017219441933162e-08	-6.821212e-01
7.026601699447466e-08	-6.439733e-01
7.036154149164114e-08	-6.127487e-01
7.047060488754239e-08	-5.848343e-01
7.058220951802752e-08	-5.627354e-01
7.070758446196118e-08	-5.441120e-01
